Name,BodyPart
Adductors (Hip),Hip
Biceps Brachii,Arm
Brachialis,Arm
Brachioradialis,Arm
Deltoid (Anterior),Shoulder
Deltoid (Lateral),Shoulder
Deltoid (Posterior),Shoulder
Hip External Rotators,Hip
Erector Spinae,Back
Gastrocnemius,Leg
Gluteus Maximus,Hip
Gluteus Medius,Hip
Gluteus Minimus,Hip
Gracilis,Leg
Hamstrings,Leg
Iliopsoas,Hip
Infraspinatus,Shoulder
Latissimus Dorsi,Back
Levator Scapulae,Shoulder
Obliques,Abdominals
Pectineous,Hip
Pectoralis Major (Clavicular Head),Chest
Pectoralis Major (Sternal Head),Chest
Teres Major,Shoulder
Tibialis Anterior,Leg
Transverse Abdominus,Abdominals
Trapezius (Lower Fibers),Back
Trapezius (Middle Fibers),Back
Trapezius (Upper Fibers),Back
Triceps Brachii,Arm
Wrist Extensors,Arm
Wrist Flexors,Arm
Pectoralis Minor,Chest
Popliteus,Leg
Quadratus Lumborum,Back
Quadriceps,Leg
Rectus Abdominis,Abdominals
Rhomboids,Back
Sartorius,Leg
Serratus Anterior,Shoulder
Soleus,Leg
Splenius,Neck
Sternocleidomastoid,Neck
Subscapularis,Shoulder
Supraspinatus,Shoulder
Tensor Fasciae Latae,Hip